ID,RAJ2000,DEJ2000,Distance (kpc),Mass3Myr (M_Jup),AV3Myr,Mass5Myr (M_Jup),AV5Myr,Mass10Myr (M_Jup),AV10Myr,Model,FFP_class,pmRA (mas/yr),pmDE (mas/yr),pmra_error (mas/yr),pmdec_error (mas/yr),Mjmag,gmag,rmag,imag,zmag,ymag,Jmag,Hmag,Ksmag,F150Wmag,F200Wmag,W1mag,W2mag,W3mag,umag,[3.6],[4.5],[5.8],parallax (mas),parallax_error (mas),Teff (K),Radius (R_Jup),log g (cgs),Spectral Type,v sin i (km s-1),ref,notes,region,detection_method,instrument,catalog,tE_days,thetaE_muas,mu_rel_masyr,u0,rho,Source_I0_mag,Source_VI0,Source_Teff_K,Surface_Gravity_GEarth,Other IDs
3389,251.650517569575,-23.2271240044036,,7.344487586889416,0.0230217800326062,10.58284900109842,0.0205482550592327,12.53869247012665,0.0430335830721992,BHAC15,robust,-13.11645091581344,-24.04852254462243,,,,,,22.2290000915527,20.4220008850098,19.2509994506836,17.3880004882812,16.5610008239746,15.78600025177,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3209,251.4598219763,-22.7064514733276,,10.4757,,15.71355,,15.71355,,BHAC15,tentative,-15.09700263547897,23.76183550286293,,,,,20.7220001220703,20.5440006256104,,,16.0900001525879,15.6479997634888,14.6440000534058,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3126,251.403292365613,-21.4428902951042,,6.580782876677955,0.0382900475431165,7.429581171696639,0.0924430174412361,10.34215351181471,0.0640558745127223,BHAC15,robust,-6.884458909511566,-18.79740102362633,,,,,,23.0949993133545,21.7740001678467,20.7290000915527,18.451000213623,17.1840000152588,16.2810001373291,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3426,248.040483707076,-19.722823739775,,7.061466740905341,0.2768324683982613,8.874381375478768,0.0650376107981141,11.31366115207022,0.015747041362165,BHAC15,robust,-5.949306855678558,-20.72253949713707,,,,,,23.1599998474121,21.2310009002686,20.4860000610352,18.3659992218018,17.0949993133545,16.2719993591309,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
2987,246.90199516258,-18.5260021263956,,8.49351332290683,0.0687248213161671,11.03090397577671,0.0825579771401061,13.51746729034786,0.1744610614450306,BHAC15,probable,-10.83958161878586,-24.85801274847984,,,,,24.80299949646,21.7719993591309,19.8640003204346,19.0380001068115,16.8649997711182,16.0470008850098,15.4370002746582,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
2966,245.901869159,-17.7350944975,,12.35255800461281,0.0324541783522495,16.34878207432922,0.1814641649708512,16.17616332121889,0.0076180983025491,BHAC15,tentative,-16.206,-26.188,-0.5538,-0.5538,,,23.0340003967285,20.1989994049072,18.4559993743896,17.8040008544922,15.9359998703003,15.2690000534058,14.6079998016357,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3159,244.992742314,-28.5411153765,,11.08595616940698,0.0700134486711754,14.46429486662132,0.2756719028118852,15.32214090511899,0.0947247038791336,BHAC15,tentative,-11.26800979185104,-26.12416799139977,,,,,,20.7830009460449,19.1459999084473,18.2789993286133,16.2269992828369,15.4289999008179,14.7220001220703,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3108,244.682233649166,-27.5934375714714,,7.833875652714991,0.0712135511786897,9.915684430581155,0.0283777026752086,13.59630886060968,0.0253401416776486,BHAC15,probable,-9.237088332653045,-22.34479672980309,,,,,,21.9790000915527,20.1019992828369,19.2240009307861,17.0620002746582,16.2299995422363,15.5410003662109,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3210,243.16470944112,-26.2474939373156,,4.19028,,8.38056,,10.4757,,BHAC15,robust,-13.64424861478805,-22.51201779913902,,,,,,23.05299949646,,20.238000869751,18.4309997558594,17.3129997253418,16.3430004119873,,,,,,,,,,,,2060,,,L0,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe)/EMIR,DANCe,,,,,,,,,,
3270,241.563598674993,-26.0352941744285,,9.56806640995952,0.083950412111351,12.513351368598,0.353142268903108,14.08838983141236,0.1639257723987176,BHAC15,probable,-9.151574264049527,-22.43658406805992,,,,,,21.5650005340576,20.1399993896484,19.0249996185303,16.9260005950928,16.0960006713867,15.3430004119873,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3271,241.105748742225,-25.8160805802326,,6.7160377831614,0.0645604653100704,8.519330973871769,0.0883284734755981,10.52022586963434,0.0513425675652063,BHAC15,robust,-10.24925435590744,-24.28563840460777,,,,,,23.1079998016357,21.3640003204346,20.9689998626709,18.3120002746582,17.2660007476807,16.3929996490479,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3275,241.740805109762,-24.7536449591958,,9.191037983891473,0.1765668708804176,9.68113233251288,0.0602141366387435,12.91188650201687,0.1346270694500035,BHAC15,robust,-10.01701177167892,-24.5731559522152,,,,,,22.1420001983643,20.2700004577637,19.7269992828369,17.496000289917,16.5620002746582,15.789999961853,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3405,249.45451699658,-27.4375957774337,,10.03735261460067,0.1445056706132679,13.05723260610024,0.4384058253769911,14.36056287482768,0.0369932081180151,BHAC15,tentative,-16.11898006010055,-20.74406201910973,,,,,,21.3320007324219,20.1350002288818,18.5149993896484,16.6919994354248,15.9750003814697,15.4309997558594,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3387,249.110253880961,-27.3340955292526,,10.10165621959856,0.0523367511005023,14.9107659740283,0.0015669438644594,15.99185929373859,0.1034642144528643,BHAC15,tentative,-12.16758311796188,-21.45754201483727,,,,,23.701000213623,20.8680000305176,19.6060009002686,18.568000793457,16.4029998779297,15.5539999008179,14.9329996109009,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3386,248.018996217372,-27.5295623486621,,9.136132406366851,0.0513060612459459,11.70299328975215,0.0279705140874533,14.43631477566473,0.2539946992575617,BHAC15,probable,-12.33595908689499,-23.18289907050133,,,,,,21.3090000152588,19.5230007171631,18.886999130249,16.7759990692139,16.1580009460449,15.375,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3388,248.470682579038,-27.2705137194235,,10.57096455938951,0.0456188700231372,13.74969311217462,0.0348172390224421,14.92058680449204,0.4642334048198759,BHAC15,tentative,-4.841542730808258,-26.12837369513512,,,,,24.1499996185303,20.996000289917,19.613000869751,18.7889995574951,16.2970008850098,15.5030002593994,14.7840003967285,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3116,246.809143067056,-26.7662892362571,,9.662810764453972,0.1550918686582229,12.53479230273032,0.0462999500700673,14.3040801964894,0.0983753509304436,BHAC15,probable,-8.821438441753386,-20.94591100287437,,,,,,21.3819999694824,19.2530002593994,18.8010005950928,16.7469997406006,15.9540004730225,15.2880001068115,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3189,245.330553964076,-27.0593766145328,,9.694594945601493,0.4117940054162981,11.98913831094749,0.0706350138175723,14.00326074046911,0.0483943527756014,BHAC15,probable,-7.382784018993378,-1.826773954153062,,,,,,21.5049991607666,19.7509994506836,18.8400001525879,16.8080005645752,15.9169998168945,15.1920003890991,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3014,247.097944673749,-26.6829297975515,,4.331358960564979,0.0376580185737672,0.540774469284854,0.1114548137277711,1.09899569485214,0.0183567071082588,BHAC15,tentative,-1.17174781370163,-17.92628438544273,,,,,22.556999206543,21.7849998474121,21.3780002593994,20.6609992980957,17.1359996795654,,15.5369997024536,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3163,247.273710118097,-26.7027449171546,,12.17898294212412,0.0225527710581206,15.1977598667698,0.0161326515784916,15.67257119272172,0.0336577880823308,BHAC15,tentative,-12.82948173093796,-24.3476634747982,,,,,22.9839992523193,20.5659999847412,18.738000869751,17.9720001220703,15.9890003204346,15.2600002288818,14.5530004501343,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3164,247.042931851167,-26.6733764791169,,7.515473692813982,0.0180488895852056,10.22595645828083,0.3558703961869822,12.5823228848948,0.122525157809815,BHAC15,robust,-11.20682490873337,-23.48136289191246,,,,,,22.4500007629395,20.5319995880127,19.69700050354,17.4899997711182,16.6030006408691,15.8730001449585,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3264,247.222537107614,-26.3787653451551,,11.84822967390613,0.2305414560442837,14.62705350635981,0.0951133248879736,14.89189110946721,0.0187258008176657,BHAC15,tentative,-11.90270484495163,-20.6618781812191,,,,,,20.8519992828369,19.0690002441406,18.1350002288818,16.117000579834,15.5839996337891,14.871000289917,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3266,247.313909865475,-26.3147601713548,,10.38144245215686,0.369172587609529,12.52575410167038,0.2795312143364299,14.04008430027125,0.1047270758463931,BHAC15,probable,-5.770573983669281,-26.20402677130699,,,,,,21.3819999694824,19.5939998626709,18.4169998168945,16.6180000305176,16.1480007171631,15.456000328064,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3268,248.535770054,-26.1527192784,,12.37952066948488,0.0449346470500957,14.97335439979674,0.0614865733179523,16.04680858220999,0.0455221292948468,BHAC15,tentative,-7.090304742336273,-21.63441617560387,,,,,,20.3889999389648,18.6009998321533,17.9640007019043,16.1310005187988,15.3159999847412,14.6920003890991,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3079,248.096229443108,-25.3655266413428,,7.198634323913965,0.0535505036446669,8.959479128637522,0.0478921072930331,11.59756857864243,0.0620868834352782,BHAC15,robust,-14.20339454221725,-22.8041072614193,,,,,,23.1030006408691,21.1509990692139,20.3010005950928,18.113000869751,16.9139995574951,16.3099994659424,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3407,249.882113363514,-26.5634264762232,,10.25083942845028,0.221399577196762,13.22705875909181,0.0188526220127363,14.23774671905991,0.0036712714428804,BHAC15,tentative,-17.42744792509079,-16.32473619055748,,,,,24.1499996185303,21.1949996948242,19.9300003051758,18.7450008392334,16.6989994049072,15.9680004119873,15.2469997406006,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3410,250.964333761391,-24.2943095111305,,8.869252718952385,0.0378448793105208,12.32263580339868,0.4879184260422498,14.24956370152663,0.0535666190383017,BHAC15,probable,-11.57047523069382,-27.8621841199398,,,,,24.9769992828369,21.4890003204346,19.7310009002686,18.9109992980957,16.7409992218018,15.7720003128052,15.1780004501343,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3177,248.395223706617,-25.3412345946471,,9.717075046421014,0.0603407967329912,11.69214189068818,0.0846956132517595,13.71433461362333,0.054380100311504,BHAC15,probable,-8.988359103679656,-23.99427373480797,,,,,24.5580005645752,21.5939998626709,19.6959991455078,18.9209995269775,16.6979999542236,15.8129997253418,15.0699996948242,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3178,248.388603071744,-25.2279375721845,,10.16534304345638,0.0794305424789847,13.47878709946872,0.1087297845630776,14.95021285988844,0.1052054038471219,BHAC15,tentative,-19.0287090640068,-25.60417707037925,,,,,24.1140003204346,21.0219993591309,19.1240005493164,18.4669990539551,16.2900009155273,15.4270000457764,14.7239999771118,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3421,249.876226352068,-24.9037440053753,,6.57254616850334,0.1073772591077049,7.210893773869012,0.1656152664281498,9.431442214739343,0.0392329584990254,BHAC15,robust,-7.931898723125458,-21.00365979743004,,,,,,23.3600006103516,21.6900005340576,20.8159999847412,18.548999786377,17.4400005340576,16.5939998626709,,,,,,,,,,,,1970,,,L1,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe)/EMIR,DANCe,,,,,,,,,,
3415,249.993607919059,-24.3461494454032,,5.346970620300932,0.0935328083354077,7.203425125898683,0.0262840074598029,9.677495477087096,0.2175266462030664,BHAC15,robust,-5.01482094335556,-21.4604564435482,,,,,,23.7140007019043,22.326000213623,21.4409999847412,18.576000213623,17.367000579834,16.5669994354248,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3423,249.485291954644,-24.3672441598491,,7.023830224137041,0.047100856670294,7.362450897217006,0.0825119834008654,9.987152400535152,0.0410355193050334,BHAC15,robust,-7.436041722774505,-25.25155026984215,,,,,,23.6019992828369,22.2140007019043,21.2299995422363,18.8540000915527,17.5510005950928,16.8509998321533,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3180,248.126132533636,-25.1198868691595,,5.283373466828664,0.0505064844370178,6.715101644004223,0.2209593791052371,9.634985130719588,0.1803108093875052,BHAC15,robust,-14.98052085447311,-23.94476468634605,,,,,,23.8309993743896,22.386999130249,21.5739994049072,19.2140007019043,17.6889991760254,16.8700008392334,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
3130,248.177454685657,-25.0835890707012,,8.38056,,10.4757,,15.71355,,BHAC15,probable,-33.71256125974655,-34.19357640814781,,,,,,21.8759994506836,,20.4449996948242,17.0729999542236,16.3279991149902,,,,,,,,,,,,,,,,,,Miret-Roig 2022,,Upper Scorpius,astrometry, Multi-instrument (DANCe),DANCe,,,,,,,,,,
